Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg
22/12/2021,23.8,31.2,27.6,80,2.2,0,5,320,2
23/12/2021,25.4,32,28.4,75,0,9.6,7,340,3
24/12/2021,24,32,27.4,83,28.3,5.7,6,340,2
25/12/2021,24.4,31.3,27.7,80,,6.2,7,320,2
26/12/2021,24.5,32.3,27.2,82,14,2.8,8,300,2
27/12/2021,24.4,31.6,26.9,84,6,6.4,7,320,2
28/12/2021,,32,27.2,81,36.9,4,7,330,2
29/12/2021,24.5,30,27.6,78,3.5,7,6,340,2
30/12/2021,24.6,31.5,27.9,79,0,2,6,330,3
31/12/2021,24.6,31.8,26.7,84,4.7,4.1,8,330,2
01/01/2022,23.6,30.6,27.7,79,67.9,5.7,4,350,2
02/01/2022,24.8,31,27.7,78,,7.1,5,310,2
03/01/2022,24.9,31.4,28,78,,6.5,4,350,2
04/01/2022,24,32,28.2,70,0,5.9,5,20,3
05/01/2022,24.4,32.4,28.1,72,0,9.2,5,30,2
06/01/2022,24.4,31.5,27.2,80,1.2,7.2,6,330,2
07/01/2022,23.5,31.4,27.1,83,48.5,5.8,6,330,2
08/01/2022,25,31.2,27.6,79,0.4,5.3,5,20,2
09/01/2022,25.6,29.7,27.6,81,0.4,7,4,100,2
10/01/2022,24.8,31.4,27.4,82,4.6,0,6,320,2
11/01/2022,24.6,32.2,26.9,84,1.2,7.8,9,320,4
12/01/2022,24.4,29.9,26.5,84,21.2,5.4,8,320,3
13/01/2022,24.6,30.6,26.2,82,,1.8,11,330,3
14/01/2022,25,30.6,28,74,8.1,1,6,290,3
15/01/2022,25.2,29,27.4,80,0,0.6,8,300,3
16/01/2022,25,29.2,26.6,84,9.5,0,7,320,3
17/01/2022,25,31.9,27.7,79,1.8,0,8,320,3
18/01/2022,24,31.2,27.1,84,25,7.2,9,330,4
19/01/2022,24.2,31.4,26.8,85,5,3.2,9,310,4
20/01/2022,24,30.5,26.7,83,40.7,5.5,8,310,2
21/01/2022,23.8,31.4,27,82,3,1,8,330,3
22/01/2022,23.6,32.4,28,78,12.7,6.9,10,330,3
